abacus :abaküs
abnormal :anormal
absurd :absürt
acacia :akasya
academic :akademik
accent :aksan
accessory :aksesuar
acetone :aseton
acid :asit
acne :akne
acoustic :akustik
acrobat :akrobat
acrobat :akrobat
action :aksiyon
active :aktif
activitiy :aktivite
activity :aktivite
actor :aktör
actress :aktris
actual :aktüel
adaptation :adaptasyon
address :adres
admiral :amiral
advantage :avantaj
aerobic :aerobik
aesthetic :estetik
Afghanistan :Afganistan
Africa :Afrika
agenda :ajanda
agent :ajan
aggressive :agresif
agitation :ajitasyon
alarm :alarm
alcohol :alkol
alcoholic :alkolik
alcoholism :alkolizm
allergic :alerjik
allergy :alerji
alluvium :alüvyon
alphabet :alfabe
alternative :alternatif
aluminum :alüminyum
amateur :amatör
amazon :amazon
ambiance :ambiyans
ambulance :ambulans
amen :âmin
ammonia :amonyak
amphibian :amfibi
analysis :analiz
analysis :analiz
analytical :analitik
anarchy :anarşi
Anatolia :Anadolu
anatomy :anatomi
anemia :anemi
anesthesia :anestezi
angina :anjin
animation :animasyon
anonymous :anonim
Antarctic :Antarktika
antelope :antilop
antenna :anten
anti :anti
antibiotics :antibiyotik
antifreeze :antifriz
antipathy :antipati
antique :antika
antiseptics :antiseptik
antisocial :anti
antithesis :antitez
antivirus :antivirüs
apartment :apartman
appendicitis :apandisit
aquarium :akvaryum
Arab :Arap
archelogy :arkeoloji
arena :arena
Argentina :Arjantin
aristocracy :aristokrasi
arithmetic :aritmetik
aroma :aroma
artesian :artezyen
artistic :artistik
aspirin :aspirin
assist :asist
assistant :asistan
astrology :astroloji
astronaut :astronot
atheist :ateist
athlete :atlet
athletic :atletik
athleticism :atletizm
atlas :atlas
atmosphere :atmosfer
atom :atom
Austria :Avusturya
authentic :otantik
autobiography :otobiyografi
automatic :otomatik
automobile :otomobil
autonomous :otonom
autopsy :otopsi
bacteria :bakteri
bacterial :bakteriyel
badminton :bedmintın
Baghdad :Bağdat
balance :balans
balcony :balkon
ballerina :balerin
ballet :bale
ballistics :balistik
balloon :balon
bamboo :bambu
bandage :bandaj
bank :banka
banknote :banknot
bar :bar
barbarian :barbar
barbecue :barbekü
barber :berber
barcode :barkot
barman :barmen
barometer :barometre
baron :baron
baroque :barok
barrage :baraj
barricade :barikat
barrier :bariyer
baseball :beyzbol
battery :batarya
bazaar :pazar
bibliography :bibliyografi
bicycle :bisiklet
biennale :bienal
biography :biyografi
biologist :biyolog
biology :biyology
biopsy :biyopsi
biscuit :bisküvi
bite :bayt
block :blok
blouse :bluz
bluff :blöf
boat :bot
bobbin :bobin
bodyguard :badigard
bomb :bomba
boot :bot
botanical :botanik
botany :botanik
bouquet :buket
boutique :butik
bowling :bowling
boxing :boks
boycott :boykot
branch :branş
bridge :briç
briefing :brifing
broach :broş
brochure :broşür
bronze :bronz
brother :birader
Budapest :Budapeşte
Buddhism :Budizm
bulgur :bulgur
bulletin :bülten
bungalow :bungalov
bureau :büro
bureaucracy :bürokrasi
bust :büst
button :buton
by-pass :baypas
cabaret :kabare
cabin :kabin
cacao :kakao
cactus :kaktüs
cafe :kafe
caffeine :kafein
cake :kek
calcium :kalsiyum
caliph :halife
calligraphy :kaligrafi
calorie :kalori
camera :kamera
cameraman :kameraman
camouflage :kamuflaj
camp :kamp
campaign :kampanya
campus :kampus
Canada :Kanada
canal :kanal
cancer :kanser
canoeing :kano
canteen :kantin
canyon :kanyon
capacity :kapasite
caprice :kapris
capsule :kapsül
captain :kaptan
caramel :karamel
caravan :karavan
carbon :karbon
carbondioxide :karbondioksit
carburetor :karbüratör
card :kart
cardiology :kardiyoloji
career :kariyer
cargo :kargo
carnival :karnaval
carton :karton
cashier :kasiyer
cassette :kaset
catalog :katalog
catalogue :katalog
category :kategori
cathedral :katedral
Catholic :Katolik
Catholic :Katolik
CD :CD
censor :sansür
centigrade :santigrat
centimeter :santimetre
central :santral
ceramic :seramik
certificate :sertifika
champagne :şampanya
champion :şampiyon
channel :kanal
chaos :kaos
character :karakter
charlatan :şarlatan
chauffeur :şoför
chauvinism :şovenizm
chef :şef
cheque :çek
chocolate :çikolata
cholera :kolera
Christian :Hıristiyan
chrome :krom
chronic :kronik
cigarette :sigara
cinema :sinema
circulation :sirkülasyon
circus :sirk
civil :sivil
clan :klan
classic :klasik
classic :klasik
coach :koç
coalition :koalisyon
cobra :kobra
cocaine :kokain
cockpit :kokpit
code :kod
code :kod
coffee :kahve
cognac :konyak
commander :kumandan
complicated :komplike
concentrated :konsantre
conservative :konservatif
conservatory :konservatuar
controller :kontrolör
convoy :konvoy
convoy :konvoy
cooperative :kooperatif
coordinator :koordinatör
Copenhagen :Kopenhag
copy :kopya
corner :korner
corridor :koridor
cosmetic :kozmetik
cosmic :kozmik
costume :kostüm
cotton :koton
course :kurs
cowboy :kovboy
cramp :kramp
crater :krater
cream :krem
cream :krema
creative :kreatif
credit :kredi
cricket :kriket
criminal :kriminal
criterion :kriter
crystal :kristal
cube :küp
cure :kür
cylinder :silindir
dance :dans
dancer :dansçı
data :data
declaration :deklarasyon
decorative :dekoratif
deep :dip
deep-freeze :dipfriz
defense :defans
degenerate :dejenere
democracy :demokrasi
democracy :demokrasi
demogogy :demogoji
demography :demografi
deodorant :deodorant
department :departman
deposit :depozit
depot :depo
dermatology :dermatoloji
design :dizayn
despot :despot
destination :destinasyon
destroyer :destroyer
detective :dedektif
detector :detektör
detergent :deterjan
devaluation :devalüasyon
diabetes :diyabet
diagram :diyagram
dialect :diyalekt
dialogue :diyalog
dialysis :diyaliz
diaphragm :diyafram
dictator :diktatör
diction :diksiyon
diet :diyet
digital :dijital
dinosaur :dinozor
diplomacy :diplomasi
diplomat :diplomat
direct :direkt
director :direktör
disc :disk
discipline :disiplin
disc-jockey :diskjokey
disinfect :dezenfekte
disinfectant :dezenfektan
diskette :disket
doctor :doktor
doctrine :doktrin
document :doküman
document :doküman
dogma :dogma
dollar :dolar
dominant :dominant
Dominican :Dominik
doping :doping
dosage :dozaj
dosier :dosya
double :duble
douche :duş
drama :dram
duel :düello
duplex :dubleks
DVD :DVD
dynamite :dinamit
dynamo :dinamo
dysentery :dizanteri
eccentric :eksantrik
eco :eko
ecology :ekoloji
economical :ekonomik
economist :ekonomist
economy :ekonomi
eczema :egzama
editor :editör
effect :efekt
egoist :egoist
elastic :elastik
electric :elektrik
electron :elektron
electronic :elektronik
electronically :elektrikli
elegant :elegan
element :element
ellipse :elips
embargo :ambargo
emblem :amblem
embryo :embriyo
emperor :imparator
encyclopedia :ansiklopedi
endocrine :endokrin
endorphine :endorfin
energetic :enerjik
energy :enerji
English :İngilizce
epic :epik
Equator :Ekvator
erosion :erozyon
Eskimo :Eskimo
Estonia :Estonya
ether :eter
Ethiopia :Etiyopya
Euro :Euro
Europe :Avrupa
exhaust :pipe
exotic :egzotik
expert :eksper
express :ekspres
extra :ekstra
factor :faktör
fan :fan
fanatic :fanatik
fantastic :fantastik
fantasy :fantezi
fascism :faşizm
fascist :faşist
fax :faks
feasibility :fizibilite
federal :federal
federation :federasyon
federative :federatif
feminist :feminist
ferry-boat :feribot
festival :festival
fiasco :fiyasko
film :film
filter :filtre
final :final
finalist :finalist
finance :finans
flamingo :flamingo
flash :flaş
flirt :flört
flora :flora
flute :flüt
football :futbol
force :fors
formula :formül
forum :forum
fossil :fosil
foul :faul
fraction :fraksiyon
France :Fransa
frequency :frekans
fresco :fresk
function :fonksiyon
fund :fon
fusion :füzyon
gabardine :gabardin
galaxy :galaksi
gallery :galeri
gangster :gangster
garage :garaj
garrison :garnizon
garrison :gastronomi
gas :gaz
gastronomy :gastronomi
gel :jel
gelatin :jelatin
gene :gen
general :general
generator :jeneratör
genetic :genetik
geography :coğrafya
geology :jeoloji
geometry :geometri
geophysics :jeofizik
gigabyte :cigabayt
gin :cin
global :global
goal :gol
golf :golf
gondola :gondol
gorilla :goril
gothic :gotik
gram :gram
grammar :gramer
granite :granit
grapefruit :greyfurt
graphic :grafik
group :grup
guarantee :garanti
guerilla :gerilla
guitar :gitar
gymnastics :jimnastik
gynecology :jinekoloji
hall :hol
hamburger :hamburger
hammock :hamak
handball :hentbol
handicap :handikap
hangar :hangar
harem :harem
harmony :harmoni
hashish :haşhaş
helicopter :helikopter
helium :helyum
heroine :eroin
highly :hayli
hippi :hippi
hippodrome :hipodrom
hobby :hobi
hobby :hobi
hockey :hokey
holding :holding
homogeneous :homojen
honor :onur
honorable :onurlu
hooligan :holigan
hormone :hormon
hotel :otel
humanist :humanist
hygiene :hijyen
hypnosis :hipnoz
hypothec :ipotek
hysteria :histeri
hysteric :isterik
Indonesia :Endonezya
Iran :İran
Iraq :Irak
Ireland :İrlanda
Israel :İsrail
Italy :İtalya
icon :ikon
ideal :ideal
idealist :idealist
ideology :ideoloji
idol :idol
illegal :illegal
illusion :illüzyon
image :imaj
imitation :imitasyon
immunology :immünoloji
impose :empoze
impose :empoze
indicator :indikatör
indirect :endirekt
industry :endüstri
information :enformasyon
initiative :inisiyatif
injection :enjeksiyon
innovation :inovasyon
inorganic :inorganik
instantaneous :enstantane
institute :enstitü
instrument :enstrüman
integrated :entegre
integration :entegrasyon
interactive :enteraktif
international :enternasyonal
internet :internet
intranet :intranet
ion :iyon
iris :iris
irony :ironi
isolation :izolasyon
jackal :çakal
jackal :çakal
jacket :ceket
jacuzzi :jakuzi
jazz :caz
jeep :cip
jet :jet
jockey :jokey
jubilee :jübile
judo :judo
jury :juri
kangaroo :kanguru
karate :karate
ketchup :ketçap
kettle :ketıl
kilo :kilo
kiosk :köşk
knock :out
kung fu :kung fu
lady :leydi
lamp :lamba
laser :lazer
Latvia :Letonya
leader :lider
league :lig
legal :legal
lemon :limon
leopard :leopar
liberal :liberal
lilac :leylak
limit :limit
link :link
list :liste
liter :litre
literature :literatür
Lithuania :Litvanya
lobby :lobi
local :lokal
locomotive :lokomotif
logo :logo
lotion :losyon
Luxemburg :Lüksemburg
luxury :lüks
lynch :linç
Macedonia :Makedonya
machine :makine
major :majör
Malaysia :Malezya
mammoth :mamut
maneuver :manevra
maniac :manyak
manicure :manikür
margarine :margarin
marginal :marjinal
marina :marina
market :market
marmalade :marmelat
mascara :maskara
mascot :maskot
mask :maske
massage :masaj
masseuse :masöz
match :maç
material :materyal
mathematics :matematik
maximum :maksimum
mayonnaise :mayonez
mechanical :mekanik
medal :madalya
medallion :madalyon
media :medya
medium :medyum
meeting :miting
mega :mega
megaphone :megafon
melancholy :melankoli
melody :melodi
melody :melodi
mentality :mantalite
menthol :mentol
menu :menü
meridian :meridyen
message :mesaj
metal :metal
meteor :meteor
meteorology :meteoroloji
meter :metre
methane :metan
method :metot
metro :metro
metropolis :metropol
Mexico :Meksika
microbe :mikrop
microphone :mikrofon
microscope :mikroskop
militant :militan
millimeter :milimetre
million :milyon
minaret :minare
mine :mayın
mineral :mineral
miniature :minyatür
minibus :minibüs
minimum :minimum
minor :minör
mission :misyon
mixer :mikser
model :model
modem :modem
modernize :modernize
modified :modifiye
monastery :manastır
monitor :monitör
monograph :monografi
monotone :monoton
montage :montaj
moron :moron
morphine :morfin
mosaic :mozaik
Moscow :Moskova
motel :motel
motor :motor
Mozambique :Mozambik
museum :müze
music :müzik
musical :müzikal
musician :müzisyen
mystic :mistik
mythology :mitoloji
narcotic :narkotik
natural :natürel
negative :negatif
neurology :nöroloji
neutral :natürel
niche :niş
nickel :nikel
nicotine :nikotin
nitrogen :nitrojen
norm :norm
normal :normal
nuance :nüans
nuclear :nükleer
nylon :naylon
obese :obez
object :obje
objective :objektif
occasion :okazyon
offside :ofsayt
okay :okey
omlette :omlet
oncology :onkoloji
opera :opera
operation :operasyon
optic :optik
optimistic :optimist
oral :oral
orchestra :orkestra
orchid :orkide
organ :organ
organic :organik
organization :organizasyon
original :orijinal
Orthodox :Orthodox
orthopedics :ortopedi
oval :oval
over :lock
oxygen :oksijen
ozone :ozon
pajamas :pijama
Pakistan :Pakistan
panorama :panorama
pancreas :pankreas
panda :panda
panel :panel
panic :panik
panther :panter
parachute :paraşüt
paradox :paradoks
paradox :paradoks
paragraph :paragraf
parallel :paralel
paranoia :paranoya
parasite :parazit
parcel :parsel
Paris :Paris
park :park
parka :parka
parliament :parlamento
parody :parodi
particle :partikül
partisan :partizan
partner :partner
party :parti
passive :pasif
passport :pasaport
patent :patent
pathology :patoloji
pedagogy :pedagoji
pedal :pedal
pediatric :pediatri
pedicure :pedikür
pelican :pelikan
penguin :penguen
penicillin :penisilin
perfume :parfüm
personnel :personel
perspective :perspektif
pessimistic :pesimist
Philippines :Filipinler
philology :filoloji
philosopher :filozof
photocopy :fotokopi
photograph :fotoğraf
physical :fiziksel
physics :fizik
pianist :piyanist
piano :piyano
pick :up
picnic :piknik
piston :piston
pizza :pizza
plan :plan
plastic :plastik
platform :platform
platinum :platin
plaza :plaza
poker :poker
polemic :polemik
policeman :polis
politic :politik
politics :politika
polo :polo
polyester :polyester
pop :pop
porcelain :porselen
position :pozisyon
positive :pozitif
poster :poster
potato :patates
potential :potansiyel
presentation :prezentasyon
press :pres
prestige :prestij
primitive :primitif
prince :prens
princess :prenses
principle :prensip
printer :printer
problem :problem
professional :profesyonel
professor :profesör
profile :profil
program :program
project :proje
projector :projektör
protest :protesto
Protestant :Protestan
protocol :protokol
provocation :provokasyon
pudding :puding
pump :pompa
pyramid :piramit
quality :kalite
Quran :Kur’an
raccoon :rakun
racket :raket
radar :radar
radical :radikal
radiology :radyoloji
radium :radyum
raki :rakı
rally :ralli
Ramadan :Ramazan
ramp :rampa
rating :reyting
realism :realizm
reality :realite
reception :resepsiyon
recital :resital
rector :rektör
reference :referans
referendum :referandum
reflector :reflektör
reflex :refleks
reform :reform
report :rapor
reservation :rezervasyon
reserve :rezerv
residence :rezidans
restaurant :restoran
rhytm :ritim
risk :risk
robot :robot
rocket :roket
rod :balance
role :rol
routine :rutin
rugby :ragbi
sabotage :sabotaj
sadism :sadizm
safari :safari
saffron :safran
salad :salata
sandwich :sandviç
sauce :sos
sauna :sauna
scandal :skandal
score :skor
season :sezon
secretary :sekreter
sector :sektör
seminar :seminer
serum :serum
service :servis
sex :seks
shampoo :şampuan
sheriff :şerif
shish :şiş
shock :şok
shoot :şut
shorts :şort
showman :şov
simulation :simülasyon
simultaneous :simültane
Singapore :Singapur
siren :siren
slide :slayt
slogan :slogan
Slovakia :Slovakya
Slovenia :Slovenya
social :sosyal
socialist :sosyalist
soda :soda
Sofia :Sofya
solarium :solaryum
Spain :İspanya
spasm :spazm
special :spesiyal
specific :spesifik
sponsor :sponsor
spontaneous :spontane
sport :spor
spray :sprey
stadium :stadyum
standard :standart
star :star
static :statik
station :istasyon
step :step
sterling :sterlin
sticker :stikır
stock :stok
stress :stres
style :stil
super :süper
surfing :sörf
surprise :sürpriz
sushi :suşi
symbol :sembol
sympathetic :sempatik
sympathy :sempati
symptom :semptom
synchronous :senkron
syrup :şurup
syrup :şurup
system :sistem
tablet :tablet
tactic :taktik
taekwondo :tekvando
Taiwan :Tayvan
tango :tango
tanker :tanker
taxi :taksi
technical :teknik
Tehran :Tahran
teknology :teknoloji
telephone :telefon
telescope :teleskop
television :televizyon
tennis :tenis
tequila :tekila
terminal :terminal
terror :terör
terrorist :terörist
test :test
textile :tekstil
Thailand :Tayland
theoretical :teorik
theory :teori
therapy :terapi
thermal :termal
thermometer :termometre
thermos :termos
thinner :tiner
tick :tik
toilet :tuvalet
Tokyo :Tokyo
tolerance :tolerans
tonic :tonik
tour :tur
tourism :turizm
tourist :turist
tractor :traktör
traffic :trafik
tragedy :trajedi
train :tren
transfer :transfer
transit :transit
transparent :transparan
trauma :travma
trend :trend
t-shirt :tişört
tunnel :tünel
turban :türban
Turkmenistan :Türkmenistan
typhoon :tayfun
Ukraine :Ukrayna
ultimatum :ültimatom
ultrason :ultrason
ultrasonic :ultrasonik
uniform :üniforma
unit :ünite
universal :üniversal
university :üniversite
uranium :uranyum
urology :üroloji
utopia :ütopya
vacuum :vakum
vanilla :vanilya
vase :vazo
Vatican :Vatikan
vegetarian :vejeteryan
veranda :veranda
version :versiyon
vibration :vibrasyon
video :video
Vietnam :Vietnam
villa :villa
viola :viyola
virus :virüs
visa :vize
vision :vizyon
vitamin :vitamin
vocal :vokal
vodka :votka
volcano :volkan
volleyball :voleybol
whiskey :viski
yacht :yat
yoga :yoga
yoghurt :yoğurt
zebra :zebra
zoology :zooloji
